id,aliaskuerzel,aliasname,institutskuerzel
80,122,uebersetzung,Übersetzungs- und Dolmetscherdienst,akuedo
81,124,hauptseminar,Hauptseminar (rechtswissenschaftliches),rechtwiss
82,125,koelncampus,KölnCampus (Kölner Hochschulradio),hochradio
83,126,campuswelle,Campuswelle Köln (Kölner Hochschulradio),hochradio
84,127,europarecht,Europarecht (Recht der Europäischen Union),rechteuropa
85,128,supplychainprod,Supply Chain Management und Produktion,allgbwlproduktion
86,129,empwisozentrum,Empirische Wirtschafts- und Sozialforschung (Zentrum),zentrumempwiso
87,130,untfuehrung,Unternehmensführung und Logistik,allgbwlbetrplanung
88,132,blutspende,Blutspendezentrale,transfusion
89,133,sozialpsycho,Sozialpsychologie (WiSo-Fak.),wisopsych
90,137,notfallmedizin,Notfallmedizin,zentralintensivnotfall
91,139,allgemeinmedizin,Allgemeinmedizin (Schwerpunkt),schwerpunktam
92,140,lateinamerika,Lateinamerika (Lehr- und Forschungszentrum),zentrumlateinamerika
93,141,publizistik,Publizistik (Geschichte),geschpublizistik
94,142,islamwissenschaft,Islamwissenschaft (Orientalische Philologie),arabistik
95,143,indophilo,Indonesische Philologie,malaiologie
96,144,dokuzentrumeuranwrecht,Dokumentationszentrum Europäisches Anwalts- und Notarrecht,europaanwrecht
97,145,forschungafrika,Forschungstelle Afrika,afrikaforschung
98,146,archafrika,Archäologie und Geschichte Afrikas,heinrbarth
99,149,seismo,Seismologische Station,erdbeben
100,151,fsk,FSK - Fachschafts-Konferenz,unifsk
101,152,kardiologie,Kardiologie,inneremed3
102,153,palaeontologie,Paläontologie,geologie
103,154,kosmochemie,Kosmochemie,mineralogie
104,155,hepatologie,Hepatologie und Gastroenterologie,gastroenter
105,156,wirtschaftsforschung,Wirtschaftsforschung, Labor,koelnlabwifo
106,158,rechtswissfak,Rechtswissenschaftliche Fakultät,jurfak
107,159,wirecht,Wirtschaftsrecht,buergrwirtschaft
108,160,internationwrecht,Internationales Wirtschaftsrecht,voelkerrechteuropa
109,161,vereinfoerderrechtswiss,Verein zur Förderung der Rechtswissenschaft,foerdervereinrechtswiss
110,162,prothetikzahn,Prothetik, zahnärztliche,zahnproth
111,163,berufswisopaed,Berufs-, Wirtschafts- und Sozialpädagogik,wisopaed
112,164,deutschdidaktik,Deutsche Sprache und ihre Didaktik,deutschsprachlit2
113,165,englischdidaktik,Englische Sprache und ihre Didaktik,englischsem2
114,166,geschphil,Geschichte und Philosophie,histsem2
115,167,sozialwissewf,Sozialwissenschaften (Humanwiss. Fak.),vergleichendebildung
116,169,audiomz,Audiovisuelles Medienzentrum (AVMZ),filmproduktion
117,170,antikekulturen,Antike Kulturen des Mittelmeerraumes (Lehr- und Forschungszentrum),zentrumantikekulturen
118,171,intertranskult,Inter- und Transkulturelle Studien (Zentrum),zentruminterkult
119,172,medienwisskoeln,Medienwissenschaften Köln (Zentrum),zentrummedienwiss
120,173,mittelalterstudien,Mittelalterstudien (Zentrum),zentrummittelalter
121,174,moderne,Moderneforschung (Zentrum),zentrummoderne
122,175,osteuropa,Osteuropa (Zentrum),zentrumosteuropa
123,177,vergleicheus,Vergleichende Europäische Studien (Zentrum),zentrumvergleicheus
124,178,strafrechtausl,Strafrecht, ausländisches und internationales,auslrecht
125,179,verwaltungslehre,Verwaltungslehre, öffentliches Recht,oeffrechtverw
126,180,voelkereuroparecht,Völker- und Europarecht, Öffentliches Recht,oeffrechtvoelker
127,181,risikomanagement,Risikomanagement, Graduiertenkolleg,gradkolleg811
128,182,unternehmensentwicklung,Unternehmensentwicklung und Organisation,allgbwlorga
129,183,geschwisodv,Geschäftsstelle für Datenverarbeitungssysteme der WiSo Fakultät,wisoit
130,184,erziehungskultursoziologie,Erziehungs- und Kultursoziologie,soziologieewf
131,185,arbeitskreisportugallateinamer,Arbeitskreis Spanien-Portugal-Lateinamerika (ASPLA),spanienportu
132,186,differentiellepsych,Differentielle Psychologie,sozialpsych2
